,T_outdoor,T_room,Q_solar,Q_internal,Q_hvac_cool,Q_hvac_heat,Q_hvac,Q_ghi,Q_load,Timestamp
10674.0,23.833333333333336,24.530000000000012,20.422938841264894,8.856218209958152,42.52255968425568,0.0,-42.52255968425568,20.422938841264894,-33.66634147429753, 08/22  09:55:00
10675.0,23.866666666666664,24.53000000000001,20.278456885965312,8.856218209958152,42.48746871570868,0.0,-42.48746871570868,20.278456885965312,-33.63125050575053, 08/22  09:56:00
10676.0,23.9,24.53000000000001,20.133173337024225,8.856218209958152,42.45138167675555,0.0,-42.45138167675555,20.133173337024225,-33.5951634667974, 08/22  09:57:00
10677.0,23.933333333333334,24.53000000000001,19.987108545062068,8.856218209958152,42.41459455673318,0.0,-42.41459455673318,19.987108545062068,-33.55837634677503, 08/22  09:58:00
10678.0,23.966666666666665,24.53000000000001,19.840283535374635,8.673855045647821,42.18536348571142,0.0,-42.18536348571142,19.840283535374635,-33.5115084400636, 08/22  09:59:00
10679.0,24.0,24.53000000000001,19.692720006125345,8.673855045647821,42.143787809422385,0.0,-42.143787809422385,19.692720006125345,-33.469932763774565, 08/22  10:00:00
10680.0,24.05,24.53000000000001,19.54444032585937,8.090197260079012,41.32079853144037,0.0,-41.32079853144037,19.54444032585937,-33.23060127136135, 08/22  10:01:00
10681.0,24.1,24.530078600769315,19.395467530330034,8.637286753010008,41.78338426723218,0.0,-41.78338426723218,19.395467530330034,-33.14609751422217, 08/22  10:02:00
10682.0,24.15,24.53000575463369,19.245825318628672,8.637286753010008,41.73518731843461,0.0,-41.73518731843461,19.245825318628672,-33.0979005654246, 08/22  10:03:00
10683.0,24.2,24.530000423463157,19.095538048610123,8.637286753010008,41.679184643318884,0.0,-41.679184643318884,19.095538048610123,-33.041897890308874, 08/22  10:04:00
10684.0,24.25,24.53000003096861,18.944630731605773,8.135788051156597,41.09676540696366,0.0,-41.09676540696366,18.944630731605773,-32.96097735580707, 08/22  10:05:00
10685.0,24.3,24.530000002277404,18.793129026418004,8.135788051156597,41.032159251609286,0.0,-41.032159251609286,18.793129026418004,-32.89637120045269, 08/22  10:06:00
10686.0,24.35,24.53000000016701,18.641059232589296,8.135788051156597,40.97529831420759,0.0,-40.97529831420759,18.641059232589296,-32.839510263051, 08/22  10:07:00
10687.0,24.400000000000006,24.53000000001227,18.488448282941043,8.135788051156597,40.91897135706594,0.0,-40.91897135706594,18.488448282941043,-32.78318330590935, 08/22  10:08:00
